#BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         661     1.02851    0.906119   0.0659705
         662     1.03119    0.906308   0.0658711
         663     1.03347    0.906499    0.065772
         664     1.03587    0.906694   0.0656733
         665     1.03865    0.906893   0.0655748
         666     1.04088    0.907094   0.0654766
         667     1.04381    0.907299   0.0653788
         668     1.04651    0.907507   0.0652813
         669     1.04926    0.907719    0.065184
         670     1.05185    0.907934   0.0650871
         671     1.05408    0.908152   0.0649905
         672     1.05694    0.908373   0.0648941
         673     1.05997    0.908599   0.0647981
         674     1.06344    0.908828   0.0647024
         675     1.06737    0.909063   0.0646069
         676     1.07078    0.909303   0.0645118
         677     1.07466    0.909547    0.064417
         678     1.07972    0.909798   0.0643224
         679     1.08377    0.910054   0.0642282
         680     1.08825    0.910316   0.0641343
         681     1.09313    0.910584   0.0640407
         682     1.09742    0.910858   0.0639474
         683     1.10278    0.911139   0.0638544
         684     1.10796    0.911427   0.0637617
         685     1.11244    0.911721   0.0636693
         686     1.11738     0.91202   0.0635771
         687     1.12274    0.912327   0.0634853
         688     1.12727     0.91264   0.0633938
         689      1.1314    0.912957   0.0633026
         690      1.1358     0.91328   0.0632117
         691     1.13972    0.913608   0.0631211
         692     1.14335     0.91394   0.0630307
         693      1.1464    0.914275   0.0629407
         694     1.14981    0.914615   0.0628509
         695     1.15281    0.914957   0.0627614
         696     1.15538    0.915303   0.0626722
         697     1.15725     0.91565   0.0625832
         698     1.15841    0.915998   0.0624945
         699     1.15979    0.916346   0.0624061
         700     1.15994    0.916694   0.0623179
         701     1.16032    0.917042     0.06223
         702     1.15996    0.917388   0.0621423
         703     1.15911    0.917732   0.0620548
         704     1.15756    0.918073   0.0619676
         705     1.15533    0.918409   0.0618807
         706     1.15222     0.91874   0.0617939
         707     1.14993    0.919067   0.0617074
         708     1.14683    0.919389    0.061621
         709     1.14322    0.919705   0.0615349
         710      1.1394    0.920014    0.061449
         711     1.13565    0.920317   0.0613634
         712     1.13229    0.920615   0.0612779
         713     1.12865    0.920907   0.0611927
         714     1.12504    0.921193   0.0611076
         715     1.12056    0.921472   0.0610228
         716     1.11696    0.921745   0.0609382
         717     1.11359    0.922012   0.0608538
         718     1.11073    0.922275   0.0607696
