# VELOCITY:     BLOCK_AVE_POFV	PROG_AVE_POFV:        ERROR:
     5.37401           0           0           0
     5.56257           0           0           0
   0.0942809           0   0.0119444  0.00979054
    0.282843       0.175        0.15   0.0536938
    0.471405       0.235    0.460556    0.120555
    0.659966        1.41    0.916389       0.226
    0.848528       1.355    0.855556    0.168898
     1.03709       4.925    0.753611    0.276453
     1.22565        6.37     1.89778    0.411063
     1.41421        3.35     1.55778    0.368754
     1.60278       4.085     2.33667    0.396868
     1.79134         4.2     3.37472    0.523723
      1.9799       6.405     3.61556     0.72747
     2.16846       10.01     4.62972    0.863218
     2.35702       8.165     21.9439     3.69111
     2.54558       10.65     39.3217     6.39072
     2.73415       10.15     9.11806    0.935923
     2.92271       9.755     4.42306    0.756439
     3.11127       10.56       4.125    0.817273
     3.29983        5.81     3.50917    0.657355
     3.48839       1.045      1.7625    0.414438
     3.67696       3.265    0.899167    0.272389
     3.86552       2.055    0.955833    0.230499
     4.05408        1.94    0.448056    0.143746
     4.24264       1.105    0.274722    0.103284
      4.4312        0.98    0.611389    0.120737
     4.61976           0   0.0377778   0.0254897
     4.80833           0  0.00944444  0.00917835
     4.99689           0           0           0
     5.18545           0           0           0
     5.37401           0           0           0
     5.56257           0           0           0
   0.0942809           0   0.0113158  0.00929541
    0.282843           0    0.142105   0.0514449
    0.471405        0.93    0.485263    0.116714
    0.659966       0.815    0.911053    0.214168
    0.848528       2.555       0.945     0.18216
     1.03709       5.115    0.983158    0.344255
     1.22565       5.045     2.06342    0.421483
     1.41421        5.19     1.74895     0.39581
     1.60278         4.3        2.44      0.3892
     1.79134        3.81     3.39763    0.496659
      1.9799        7.02     3.79474    0.710907
     2.16846       7.695     4.79105    0.832725
     2.35702        8.38       21.23     3.56521
     2.54558       11.68     37.8668     6.21775
     2.73415       10.34     9.18237    0.888871
     2.92271       8.685     4.64737    0.749147
     3.11127       7.805     4.31868    0.796878
     3.29983        5.72     3.62553    0.632972
     3.48839       3.485     1.85316    0.402419
     3.67696       3.585     1.04053    0.292442
     3.86552       2.795     1.05263    0.237826
     4.05408       1.425    0.499474    0.145085
     4.24264       1.155    0.321053     0.10774
      4.4312       0.055    0.582105     0.11788
     4.61976       0.415   0.0576316   0.0309283
     4.80833           0  0.00894737  0.00870873
     4.99689           0           0           0
     5.18545           0           0           0
     5.37401           0           0           0
     5.56257           0           0           0
   0.0942809         0.1     0.01575  0.00983155
    0.282843        0.76       0.173   0.0574047
    0.471405       0.335     0.47775     0.11112
