#BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         614     2.92059      2.9413  0.00066891
         615     2.92117     2.94127 0.000668623
         616     2.92174     2.94124 0.000668288
         617     2.92231     2.94121 0.000667909
         618     2.92287     2.94118 0.000667487
         619     2.92341     2.94115 0.000667025
         620     2.92393     2.94112 0.000666527
         621     2.92443     2.94109 0.000665996
         622     2.92491     2.94107 0.000665433
         623     2.92537     2.94104 0.000664841
         624     2.92581     2.94102 0.000664224
         625     2.92622     2.94099 0.000663583
         626     2.92661     2.94097 0.000662921
         627     2.92697     2.94095 0.000662239
         628     2.92731     2.94093 0.000661541
         629     2.92763     2.94091 0.000660827
         630     2.92793     2.94088 0.000660099
         631     2.92821     2.94086 0.000659358
         632     2.92848     2.94084 0.000658606
         633     2.92873     2.94083 0.000657844
         634     2.92897     2.94081 0.000657072
         635     2.92921     2.94079 0.000656291
         636     2.92945     2.94077 0.000655501
         637     2.92968     2.94075 0.000654703
         638     2.92991     2.94074 0.000653897
         639     2.93015     2.94072 0.000653084
         640      2.9304      2.9407 0.000652263
         641     2.93065     2.94069 0.000651433
         642     2.93092     2.94067 0.000650597
         643     2.93119     2.94066 0.000649752
         644     2.93148     2.94064 0.000648899
         645     2.93178     2.94063 0.000648039
         646     2.93209     2.94062 0.000647171
         647     2.93241      2.9406 0.000646295
         648     2.93273     2.94059 0.000645412
         649     2.93307     2.94058 0.000644521
         650     2.93341     2.94057 0.000643624
         651     2.93376     2.94056  0.00064272
         652      2.9341     2.94055 0.000641811
         653     2.93444     2.94054 0.000640896
         654     2.93477     2.94053 0.000639977
         655     2.93509     2.94052 0.000639054
         656     2.93539     2.94051 0.000638128
         657     2.93568     2.94051 0.000637199
         658     2.93594      2.9405 0.000636268
         659     2.93618     2.94049 0.000635336
         660     2.93639     2.94049 0.000634404
         661     2.93657     2.94048 0.000633472
         662     2.93672     2.94048 0.000632541
         663     2.93682     2.94047 0.000631611
         664      2.9369     2.94047 0.000630682
         665     2.93693     2.94046 0.000629756
         666     2.93692     2.94045 0.000628833
         667     2.93688     2.94045 0.000627913
         668     2.93679     2.94044 0.000626997
         669     2.93667     2.94044 0.000626085
         670     2.93651     2.94043 0.000625178
         671     2.93631     2.94043 0.000624277
         672     2.93608     2.94042 0.000623381
         673     2.93582     2.94041 0.000622493
         674     2.93553     2.94041 0.000621611
         675     2.93522      2.9404 0.000620738
         676     2.93489     2.94039 0.000619873
         677     2.93454     2.94038 0.000619017
         678     2.93418     2.94037 0.000618172
         679     2.93381     2.94036 0.000617337
         680     2.93344     2.94035 0.000616513
         681     2.93307     2.94034   0.0006157
         682     2.93272     2.94033 0.000614899
         683     2.93237     2.94032 0.000614109
         684     2.93204     2.94031 0.000613331
         685     2.93174     2.94029 0.000612563
         686     2.93147     2.94028 0.000611805
         687     2.93124     2.94027 0.000611056
         688     2.93104     2.94025 0.000610315
         689     2.93089     2.94024  0.00060958
         690      2.9308     2.94023  0.00060885
         691     2.93076     2.94021 0.000608123
         692     2.93077      2.9402 0.000607398
         693     2.93085     2.94019 0.000606671
         694       2.931     2.94017 0.000605941
         695     2.93122     2.94016 0.000605206
         696      2.9315     2.94015 0.000604465
         697     2.93185     2.94014 0.000603715
         698     2.93227     2.94012 0.000602955
         699     2.93276     2.94011 0.000602185
         700     2.93331      2.9401 0.000601403
         701     2.93392      2.9401  0.00060061
         702     2.93458     2.94009 0.000599806
         703      2.9353     2.94008 0.000598991
         704     2.93606     2.94008 0.000598167
         705     2.93685     2.94007 0.000597337
         706     2.93767     2.94007   0.0005965
         707     2.93851     2.94007  0.00059566
         708     2.93936     2.94006  0.00059482
         709      2.9402     2.94006 0.000593981
         710     2.94103     2.94007 0.000593146
         711     2.94184     2.94007 0.000592317
         712     2.94261     2.94007 0.000591496
         713     2.94334     2.94008 0.000590684
         714       2.944     2.94008 0.000589882
         715      2.9446     2.94009 0.000589091
         716     2.94512      2.9401  0.00058831
         717     2.94555      2.9401 0.000587539
         718     2.94588     2.94011 0.000586776
         719      2.9461     2.94012 0.000586019
         720      2.9462     2.94013 0.000585266
         721     2.94618     2.94014 0.000584514
         722     2.94603     2.94014 0.000583762
         723     2.94574     2.94015 0.000583006
         724     2.94531     2.94016 0.000582244
         725     2.94474     2.94017 0.000581475
         726     2.94401     2.94017 0.000580699
         727     2.94314     2.94017 0.000579914
         728     2.94212     2.94018 0.000579124
         729     2.94094     2.94018  0.00057833
