#BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         392     3.28189     3.23574  0.00520961
         393     3.27711     3.23585  0.00519742
         394     3.27214     3.23594  0.00518504
         395     3.27277     3.23603  0.00517276
         396     3.27581     3.23613  0.00516067
         397     3.27088     3.23622  0.00514841
         398     3.25637     3.23627  0.00513572
         399     3.24488     3.23629   0.0051229
         400     3.25827     3.23635  0.00511039
         401     3.28108     3.23646  0.00509886
         402     3.28513     3.23658  0.00508761
         403     3.28309      3.2367   0.0050763
         404     3.28289     3.23681  0.00506502
         405     3.28743     3.23694  0.00505406
         406      3.2867     3.23706  0.00504309
         407     3.28174     3.23717   0.0050319
         408     3.27133     3.23725  0.00502026
         409     3.26659     3.23732   0.0050085
         410     3.30973      3.2375  0.00499939
         411     3.34685     3.23777  0.00499431
         412     3.34677     3.23803  0.00498919
         413     3.29512     3.23817  0.00497902
         414     3.24858     3.23819  0.00496706
         415     3.29613     3.23833  0.00495705
         416     3.32781     3.23855   0.0049498
         417     3.34021     3.23879  0.00494393
         418     3.35039     3.23906   0.0049393
         419     3.36017     3.23935  0.00493597
         420      3.3679     3.23966  0.00493369
         421     3.37258     3.23997  0.00493207
         422     3.37466     3.24029   0.0049307
         423     3.37357     3.24061   0.0049291
         424     3.36478      3.2409  0.00492616
         425      3.3486     3.24115  0.00492109
         426     3.33299     3.24137  0.00491426
         427     3.30786     3.24152  0.00490521
         428     3.32277     3.24171  0.00489742
         429     3.34602     3.24196  0.00489204
         430      3.3097     3.24211   0.0048832
         431     3.28871     3.24222  0.00487307
         432     3.32756     3.24242  0.00486579
         433      3.3465     3.24266  0.00486048
         434      3.3383     3.24288  0.00485428
         435     3.31733     3.24305  0.00484614
         436     3.31996     3.24323  0.00483823
         437     3.32876     3.24342  0.00483112
         438     3.32801     3.24362  0.00482394
         439     3.32473      3.2438  0.00481649
         440     3.32002     3.24397  0.00480866
         441     3.31915     3.24414  0.00480078
         442      3.3238     3.24432   0.0047933
         443     3.32301      3.2445  0.00478577
         444     3.30917     3.24465   0.0047772
         445     3.30008     3.24477  0.00476809
         446     3.30643     3.24491   0.0047594
         447      3.3136     3.24506  0.00475124
         448     3.31486     3.24522  0.00474319
         449      3.3127     3.24537    0.004735
         450     3.30719     3.24551  0.00472647
         451     3.30386     3.24564  0.00471776
         452     3.29882     3.24575  0.00470879
         453     3.28231     3.24584  0.00469909
         454     3.29019     3.24593  0.00468975
         455     3.30751     3.24607   0.0046814
         456     3.27703     3.24614  0.00467163
         457     3.23663     3.24612  0.00466145
         458     3.26594     3.24616  0.00465147
         459       3.301     3.24628  0.00464287
         460     3.31105     3.24642  0.00463491
         461     3.28882     3.24651  0.00462577
         462     3.23305     3.24648  0.00461585
         463     3.23627     3.24646  0.00460594
         464     3.27294     3.24652  0.00459636
         465      3.2602     3.24655  0.00458657
         466     3.20525     3.24646  0.00457759
         467     3.21918      3.2464  0.00456816
         468     3.26929     3.24645  0.00455866
         469     3.28122     3.24652  0.00454954
         470      3.2728     3.24658   0.0045402
         471     3.26804     3.24662  0.00453079
         472     3.27095     3.24668  0.00452149
         473      3.2726     3.24673  0.00451226
         474     3.26669     3.24677  0.00450294
         475        3.25     3.24678  0.00449346
         476     3.23278     3.24675  0.00448412
         477     3.23783     3.24673  0.00447476
         478     3.26635     3.24677  0.00446558
         479     3.29713     3.24688   0.0044575
         480     3.29971     3.24699  0.00444957
         481     3.29889      3.2471  0.00444163
         482     3.31645     3.24724  0.00443474
         483     3.32302      3.2474  0.00442834
         484     3.30422     3.24751  0.00442074
         485     3.28755      3.2476   0.0044124
         486     3.29764      3.2477  0.00440452
         487     3.31644     3.24784  0.00439774
         488      3.3246       3.248  0.00439154
         489     3.32251     3.24815   0.0043852
         490     3.31761     3.24829  0.00437854
         491     3.30782     3.24841   0.0043713
         492     3.29729     3.24851  0.00436355
         493      3.3035     3.24862  0.00435612
         494     3.32479     3.24878  0.00435003
         495     3.34553     3.24897  0.00434563
         496     3.34591     3.24917  0.00434126
         497     3.30383     3.24928  0.00433392
         498     3.24131     3.24926  0.00432525
         499     3.24066     3.24925  0.00431661
         500     3.29454     3.24934  0.00430893
         501     3.32841     3.24949  0.00430322
         502      3.3381     3.24967  0.00429827
         503     3.34088     3.24985  0.00429354
         504     3.33929     3.25003  0.00428869
         505     3.33474      3.2502  0.00428348
         506     3.33428     3.25036  0.00427823
         507     3.32818     3.25052  0.00427255
         508     3.29448      3.2506  0.00426501
         509     3.26956     3.25064   0.0042568
         510      3.3163     3.25077   0.0042504
         511     3.34701     3.25096  0.00424625
         512     3.33672     3.25113  0.00424126
         513     3.33072     3.25128  0.00423583
         514     3.34311     3.25146  0.00423135
         515     3.34651     3.25164  0.00422716
         516     3.31887     3.25177  0.00422098
         517     3.28287     3.25183  0.00421324
         518     3.29015     3.25191  0.00420576
         519     3.31846     3.25204  0.00419961
         520      3.3249     3.25218  0.00419387
         521     3.29298     3.25225  0.00418655
         522     3.29902     3.25234  0.00417949
         523      3.2913     3.25242  0.00417216
         524     3.22442     3.25237  0.00416454
         525     3.28129     3.25242  0.00415697
         526     3.30014     3.25251  0.00415006
         527     3.30024      3.2526  0.00414317
         528     3.30355      3.2527  0.00413645
         529     3.31307     3.25281   0.0041302
         530     3.33591     3.25297  0.00412538
         531     3.31165     3.25308   0.0041191
         532     3.25329     3.25308  0.00411135
         533     3.26529      3.2531   0.0041037
         534     3.29781     3.25319  0.00409687
         535     3.30809     3.25329   0.0040905
         536     3.31534      3.2534  0.00408451
         537     3.31753     3.25352  0.00407865
         538      3.3046     3.25362  0.00407217
         539     3.29275     3.25369  0.00406526
         540     3.31943     3.25381  0.00405956
         541     3.32033     3.25394  0.00405391
         542     3.32258     3.25406  0.00404841
         543     3.33877     3.25422  0.00404396
         544     3.35426      3.2544  0.00404071
         545     3.34772     3.25457  0.00403692
         546     3.33746     3.25473  0.00403238
         547     3.34597     3.25489  0.00402846
         548     3.34409     3.25506  0.00402439
         549     3.33673      3.2552  0.00401981
         550     3.33141     3.25534  0.00401489
         551     3.32966     3.25548  0.00400987
         552     3.35004     3.25565  0.00400626
         553     3.33959      3.2558  0.00400189
