#BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         420     2.24527     2.15977  0.00328913
         421     2.24839     2.15998  0.00328805
         422     2.24977     2.16019  0.00328713
         423     2.24905      2.1604  0.00328607
         424     2.24318      2.1606  0.00328411
         425      2.2324     2.16077  0.00328072
         426     2.22199     2.16091  0.00327617
         427     2.20524     2.16102  0.00327014
         428     2.21518     2.16114  0.00326495
         429     2.23068      2.1613  0.00326136
         430     2.20646     2.16141  0.00325547
         431     2.19247     2.16148  0.00324871
         432     2.21837     2.16161  0.00324386
         433       2.231     2.16177  0.00324032
         434     2.22553     2.16192  0.00323619
         435     2.21155     2.16203  0.00323076
         436     2.21331     2.16215  0.00322549
         437     2.21917     2.16228  0.00322074
         438     2.21867     2.16241  0.00321596
         439     2.21649     2.16253    0.003211
         440     2.21334     2.16265  0.00320577
         441     2.21277     2.16276  0.00320052
         442     2.21587     2.16288  0.00319553
         443     2.21534       2.163  0.00319051
         444     2.20612      2.1631   0.0031848
         445     2.20005     2.16318  0.00317873
         446     2.20429     2.16327  0.00317294
         447     2.20907     2.16338  0.00316749
         448      2.2099     2.16348  0.00316212
         449     2.20847     2.16358  0.00315667
         450     2.20479     2.16367  0.00315098
         451     2.20257     2.16376  0.00314518
         452     2.19921     2.16384  0.00313919
         453     2.18821     2.16389  0.00313273
         454     2.19346     2.16396   0.0031265
         455     2.20501     2.16405  0.00312093
         456     2.18469     2.16409  0.00311442
         457     2.15775     2.16408  0.00310763
         458     2.17729     2.16411  0.00310098
         459     2.20067     2.16419  0.00309525
         460     2.20737     2.16428  0.00308994
         461     2.19255     2.16434  0.00308385
         462     2.15537     2.16432  0.00307723
         463     2.15751     2.16431  0.00307062
         464     2.18196     2.16434  0.00306424
         465     2.17347     2.16436  0.00305771
         466     2.13683     2.16431  0.00305172
         467     2.14612     2.16427  0.00304544
         468     2.17953      2.1643   0.0030391
         469     2.18748     2.16435  0.00303303
         470     2.18187     2.16439   0.0030268
         471     2.17869     2.16442  0.00302053
         472     2.18063     2.16445  0.00301432
         473     2.18174     2.16449  0.00300817
         474      2.1778     2.16452  0.00300196
         475     2.16666     2.16452  0.00299564
         476     2.15519      2.1645  0.00298941
         477     2.15856     2.16449  0.00298317
         478     2.17756     2.16451  0.00297706
         479     2.19809     2.16458  0.00297167
         480     2.19981     2.16466  0.00296638
         481     2.19926     2.16473  0.00296109
         482     2.21097     2.16483   0.0029565
         483     2.21535     2.16493  0.00295222
         484     2.20281     2.16501  0.00294716
         485      2.1917     2.16506   0.0029416
         486     2.19843     2.16513  0.00293635
         487     2.21096     2.16523  0.00293183
         488      2.2164     2.16533  0.00292769
         489     2.21501     2.16543  0.00292347
         490     2.21174     2.16553  0.00291903
         491     2.20521     2.16561   0.0029142
         492     2.19819     2.16567  0.00290903
         493     2.20233     2.16575  0.00290408
         494     2.21652     2.16585  0.00290002
         495     2.23036     2.16598  0.00289709
         496     2.23061     2.16611  0.00289417
         497     2.20255     2.16619  0.00288928
         498     2.16087     2.16618   0.0028835
         499     2.16044     2.16616  0.00287774
         500     2.19636     2.16622  0.00287262
         501     2.21894     2.16633  0.00286881
         502      2.2254     2.16645  0.00286551
         503     2.22726     2.16657  0.00286236
         504     2.22619     2.16669  0.00285913
         505     2.22316      2.1668  0.00285565
         506     2.22285     2.16691  0.00285216
         507     2.21879     2.16701  0.00284837
         508     2.19632     2.16707  0.00284334
         509     2.17971     2.16709  0.00283787
         510     2.21087     2.16718   0.0028336
         511     2.23134     2.16731  0.00283083
         512     2.22448     2.16742  0.00282751
         513     2.22048     2.16752  0.00282389
         514     2.22874     2.16764   0.0028209
         515     2.23101     2.16776  0.00281811
         516     2.21258     2.16785  0.00281398
         517     2.18858     2.16789  0.00280883
         518     2.19344     2.16794  0.00280384
         519     2.21231     2.16802  0.00279974
         520      2.2166     2.16812  0.00279591
         521     2.19532     2.16817  0.00279103
         522     2.19935     2.16823  0.00278633
         523      2.1942     2.16828  0.00278144
         524     2.14962     2.16824  0.00277636
         525     2.18752     2.16828  0.00277131
         526     2.20009     2.16834  0.00276671
         527     2.20016      2.1684  0.00276211
         528     2.20236     2.16847  0.00275763
         529     2.20872     2.16854  0.00275347
         530     2.22394     2.16865  0.00275026
         531     2.20777     2.16872  0.00274606
         532     2.16886     2.16872   0.0027409
         533     2.17686     2.16874   0.0027358
