,sigma,epochs,train_dim,loss,val_loss
97,0.5263157894736842,80.0,10.0,0.3184890151023865,0.6357990503311157
98,0.5263157894736842,90.0,10.0,0.2791326642036438,0.6044458746910095
99,0.5789473684210527,10.0,10.0,1.9239380359649658,1.6753737926483154
100,0.5789473684210527,20.0,10.0,1.355415940284729,1.2964633703231812
101,0.5789473684210527,30.0,10.0,0.9801315069198608,1.0544606447219849
102,0.5789473684210527,40.0,10.0,0.7309118509292603,0.8981564044952393
103,0.5789473684210527,50.0,10.0,0.5640115141868591,0.7950665354728699
104,0.5789473684210527,60.0,10.0,0.4509378969669342,0.7247087359428406
105,0.5789473684210527,70.0,10.0,0.37312889099121094,0.6742668747901917
106,0.5789473684210527,80.0,10.0,0.31848904490470886,0.6357990503311157
107,0.5789473684210527,90.0,10.0,0.2791326344013214,0.6044458746910095
108,0.631578947368421,10.0,10.0,1.9239380359649658,1.6753737926483154
109,0.631578947368421,20.0,10.0,1.3554160594940186,1.2964633703231812
110,0.631578947368421,30.0,10.0,0.9801316261291504,1.0544606447219849
111,0.631578947368421,40.0,10.0,0.7309118509292603,0.8981564044952393
112,0.631578947368421,50.0,10.0,0.5640115141868591,0.7950665354728699
113,0.631578947368421,60.0,10.0,0.45093783736228943,0.7247087359428406
114,0.631578947368421,70.0,10.0,0.37312889099121094,0.6742668747901917
115,0.631578947368421,80.0,10.0,0.31848904490470886,0.6357990503311157
116,0.631578947368421,90.0,10.0,0.2791326642036438,0.6044458746910095
117,0.6842105263157894,10.0,10.0,1.9239380359649658,1.6753736734390259
118,0.6842105263157894,20.0,10.0,1.355415940284729,1.2964633703231812
119,0.6842105263157894,30.0,10.0,0.9801315069198608,1.0544606447219849
120,0.6842105263157894,40.0,10.0,0.7309117913246155,0.8981563448905945
121,0.6842105263157894,50.0,10.0,0.5640115737915039,0.7950665354728699
122,0.6842105263157894,60.0,10.0,0.4509378969669342,0.7247087359428406
123,0.6842105263157894,70.0,10.0,0.37312889099121094,0.6742668747901917
